Name,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Japanese VA,Funi English VA,Residence,Epithet,Age,Height,Blood Type,Bounty,Odex English VA,4Kids English VA,Origin,Alias,Real name,English Name,Type,Meaning,Size,Weight,First Appearance.1,Age at Death,Zombie Number,First appearance,Region,Gladiator Number,Features,Literal Meaning,Captain,Total Bounty,CP9 key,Affiliation,Completion Date,Affiliates
Dosun,ドスン,Dosun,Dosun,Chapter 611; Episode 530[1],New Fish-Man Pirates[2],Pirate; Pirate Officer[2],Alive,October 9th[3],,,,,30[4],"418 cm (13'8"")[4]",S[4],,,,Grand Line (Ryugu Kingdom)[4],,,,,,,,,,,,,,,,,,,,,
Dotaku,道たく,Dōtaku,Dotaku,Chapter 926; Episode 918[1],Kozuki Family[1],Samurai[1],Alive,,,,Wano Country (Flower Capital)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracule Mihawk,ジュラキュール・ミホーク,Jurakyūru Mihōku,Dracule Mihawk,Chapter 49; Episode 23[1],Cross Guild[2]; Seven Warlords of the Sea[3] (former)[4],Pirate; Warlord of the Sea[3] (former)[4],Alive,March 9th[12],,,Kuraigana Island[5] (former); Karai Bari Island[6],,41 (debut)[10]43 (after timeskip)[11],"198 cm (6'6"") (debut, after timeskip)[10]",S[13],,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Number Thirteen,ドラゴン十三號,Doragon Jūsan-gō,N/A,Chapter 655; Episode 579[1],,Guard,Deceased,June 3rd[2],,,Punk Hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draw,ドロウ,Dorō,Dorrow,One Piece novel A[1],Marines[1],Vice Admiral;Lieutenant Commander (former)[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drip,ドリップ,Dorippu,"Gack (VIZ);Drip (Funimation, WT100)",Chapter 598; Episode 518[1],Fake Straw Hat Crew[1],Pirate[1],Unknown,October 22nd[2],,,,,24[2],"208 cm (6'9"")[2]",XF[2],,,,,,,,,,,,,,,,,,,,,,,,,
Drophy,ドロフィー,Dorofī,N/A,Chapter 160; Episode 103[1],New Spiders Cafe; Baroque Works[1] (former),Cafe Waitress; Officer Agent[1] (former),Alive,December 25th[2],,,,,49 (debut)51 (after timeskip)[2],"156 cm (5'1"")[2]",S[2],,,,Grand Line[2],"""Miss Merry Christmas"" (ミス・メリークリスマス, Misu Merī Kurisumasu?, 4Kids: ""Ms. Groundhog's Day"")[1]",,,,,,,,,,,,,,,,,,,,
Drug Peclo,ドラッグ・ピエクロ,Doraggu Piekuro,Drug Peclo,Chapter 860; Episode 828[1],Underworld[1],Undertaker;[1] Emperor of the Underworld[2],Alive,September 29th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du Feld,ル・フェルド,Ru Ferudo,Du Feld,Chapter 860; Episode 828[1],Du Feld Conglomerate;[2] Underworld[1],Emperor of the Underworld[3],Unknown,December 29th[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducky Bree,ダッキー・ブリー,Dakkī Burī,Ducky Bree,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duval,デュバル,Dyubaru,Duval,Chapter 491; Episode 386[1],Rosy Life Riders[2],Leader of the Rosy Life Riders[2] (formerly the Flying Fish Riders); Slave trader[2] (former),Alive,August 11th[3],,,,,23 (debut)25 (after timeskip)[4],"470 cm (15'5"")[4]",S[4],,,,,,,,,,,,,,,,,,,,,,,,,
Eddy,エディ,Edi,Eddy,Chapter 223; Episode 146[1],Bellamy Pirates[1],Pirate; Navigator[1],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Newgate,エドワード・二ューゲート,Edowādo Nyūgēto,"Edward Newgate (Viz, FUNimation);[1]Ward Newgate (4Kids)[2]",Chapter 159; Episode 95 (silhouette)[3]Chapter 234; Episode 151 (full)[1],Whitebeard Pirates;[1] Four Emperors (former);[4] Rocks Pirates (former)[5],Pirate; Captain;[1] Emperor (former)[4],Deceased,April 6th[9],,,Sphinx (former)[6],,,"666 cm (21'10"")[10]",F[10],,,,Grand Line,,,,,,,,,72[8],,,,,,,,,,,,
Edward Weevil,エドワード・ウィーブル,Edowādo Wīburu,Edward Weevil,Chapter 802; Episode 751[1],Seven Warlords of the Sea[2] (former)[3],Pirate,Alive,December 10th[4],,,,,35[5],"680 cm (22'3¾"")[5]",S[5],,,,Grand Line[5],"""Whitebeard Jr."" (白ひげJr., Shirohige Junia?) (self proclaimed)[2]",,,,,,,,,,,,,,,,,,,,
Egana,エーガナ,Ēgana,Ehgana[1],Chapter 483; Episode 375[2],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggplant Soldier,ナス兵,Nasu-hei,N/A,Chapter 849[1]; Episode 802[2],Big Mom Pirates,Guard; Soldier,Alive,,,,Whole Cake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiri,エイリ君,Eiri-kun,Eyri,,,,Unknown,,,,Elbaf[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabello II,エリザベローII世,Erizaberō Nisei,Elizabero II; Elizabello II,Chapter 704;[1] Episode 632[2],Prodence Kingdom[1],King[1],Alive,February 2nd[3],,,,,57[3],"436 cm (14'3½"")[3]",F[3],,,,Grand Line (Prodence Kingdom)[3],,,,,,,,,,,,,,,,,,,,,
Elmy,エルミー,Erumī,Elmy,Chapter 551; Episode 460[1],Subordinate of the Whitebeard Pirates[1],Pirate; Captain[1],Alive,June 30th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma,エマ,Ema,N/A,SBS Volume 102 (Mentioned)[1],Kid Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporio Ivankov,エンポリオ・イワンコフ,Enporio Iwankofu,Emporio Ivankov,Chapter 537; Episode 438[1],Revolutionary Army; Kamabakka Kingdom; Newkama Land (former),Revolutionary Commander; Queen; Prisoner of the Great Prison (former),Alive,January 8th[3],,,,,51 (debut)53 (after timeskip)[2],"449 cm (14'8"")[2]",XF[2],,,,Grand Line (Kamabakka Kingdom)[2],,,,,,,,,,,,,,,,,,,,,
Enel,エネル,Eneru,Eneru,Chapter 254; Episode 167[1],God's Army[1] (former); Automata,God of Skypiea[1] (former),Alive,May 6[3][4],,,MoonUpper Yard (former); Birka (former),,37 (debut)39 (after timeskip)[5],"266 cm (8'9"")[5]",S[5],,,,Sky Islands (Birka)[5],,,,,,,,,,,,,,,,,,,,,
Enishida,エニシダ,Enishida,Genista (Viz);Enishida (Funimation),"Chapter 517, Episode 411[1]",Kuja[1],Lady's maid[2],Alive,February 24th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epoida,エポイダ,Epoida,Epoida,Chapter 553; Episode 467[1],Whitebeard Pirates[1],Pirate; Captain[1],Alive,June 4th[3],,,,,Over 30[2],,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik,エリック,Erikku,Eric[1],Chapter 167; Episode 105[2],Suna Suna Clan (former); Rebel Army (former)[2],Rebel (former)[2],Alive,,,,Arabasta Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erio,エリオ,Erio,Elio,Chapter 967[1]; Episode 959[2],Roger Pirates,Pirate,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esta,エスタ,Esuta,Esta,Chapter 717; Episode 647[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustass Kid,ユースタス・キッド,Yūsutasu Kiddo,Eustass Kid,Chapter 498; Episode 392[1],Kid Pirates[1],Pirate; Captain[1],Alive,January 10th[4][5],,,,,21 (debut)[2]23 (after timeskip)[3],"205 cm (6'9½"") (debut, after timeskip)[2]",F[7],,,,South Blue[1],,,,,,,,,,,,,,,,,,,,,
Farafra,ファラフラ,Farafura,Falafra (Viz);Faracia (FUNimation),Chapter 167; Episode 105[1],Arabasta; Rebel Army (former),Rebel (former),Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farul,ファルル,Faruru,Farul,Chapter 722;[1] Episode 634[2],Beautiful Pirates[1]Straw Hat Grand Fleet,Cavendish's steed,Alive,August 29th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faust,ファウスト,Fausuto,Faust,Chapter 508;[1] Episode 490[2],Hawkins Pirates[1],Pirate;[1] Magician[4],Alive,December 13th[3],,,,,,,,,,,North Blue[3],,,,,,,,,,,,,,,,,,,,,
Fen Bock,フェン・ボック,Fen Bokku,Fen Bock,Chapter 668; Episode 593[1],Caesar Clown,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillonce,フィヨンセ,Fiyonse,Fiyonce[1],Chapter 608; Episode 527[2],Mermaid Café,Dancer,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finamore,フィナモレ,Finamore,Finamore,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishbonen,フィッシュボーネン,Fisshubōnen,Fishbonen,Chapter 594; Episode 511[1],Marines,Doctor,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher Tiger,フィッシャー・タイガー,Fisshā Taigā,Fisher Tiger,Chapter 521; Episode 415[1],Sun Pirates;[2] Fish-Man District (former)[3],Adventurer;[1] Pirate; Captain;[2] De-facto Leader of Fish-Man District (former);[3] Slave (former)[4],Deceased,November 5th[5],,,Fish-Man District (former),,,"520 cm (17'1"")[6]",S (RH-)[6],,,,Grand Line (Ryugu Kingdom)[6],,,,,,,,,48[6],,,,,,,,,,,,
Flapper,フラッパー,Furappā,Flapper,Chapter 711; Episode 641[1],Tontatta Kingdom;[1] Tonta Corps; Straw Hat Grand Fleet,Pirate[2],Alive,July 28th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Boss,森番長,Mori Banchō,Forest Boss,Chapter 333 cover,Ukkari Hot-Spring Island; Gedatsu,Boss of the Forest,Alive,April 10th [1],,,Ukkari Hot-Spring Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forliewbs,フォーリュウブス,Fōryūbusu,N/A,Chapter 566[1],Whitebeard Pirates[1],Pirate; Captain[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossa,フォッサ,Fossa,Fossa,Chapter 553; Episode 461[1],Whitebeard Pirates[1],15th Division Commander; Pirate[1],Alive,April 15th[2],,,,,Over 30[4],,,,,,North Blue[3],,,,,,,,,,,,,,,,,,,,,
Fourtricks,フォートリックス,Fōtorikkusu,Fourtricks,Chapter 994;[1] Episode 982[2],Beasts Pirates,Shinuchi,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxy,フォクシー,Fokushī,Foxy,Chapter 305; Episode 207[1],Foxy Pirates[1],Pirate; Captain[1],Alive,April 4th[4],,,,,36 (debut)38 (after timeskip)[3],"180 cm (5'11"")[2]",S[2],,,,South Blue[2],,,,,,,,,,,,,,,,,,,,,
Francois,フランソワ,Furansowa,N/A,Chapter 537; Episode 438[1],Newkama Land (former)[1],Prisoner of the Great Prison (former)[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franky,フランキー,Furankī,FrankyFrankie (originally),Chapter 329; Episode 233[1],Straw Hat Pirates;Straw Hat Grand Fleet;Franky Family (former);Tom's Workers (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Shipwright; Dismantler; Underworld boss (former);[2] Bounty Hunter (former); Pirate; one of the Nine Senior Officers[3],Alive,March 9th[13],,,"Water 7 (former)Karakuri Island (former, temporary)",,34 (debut)[10][11]36 (after timeskip)[12][4],"225 cm (7'4½"") (debut)[14]240 cm (7'10½"") (after timeskip)[15]",XF[16],,,,South Blue[4],"""Fra-nosuke""[5] (フラの介, Furanosuke?, English versions: Franosuke)[6]",,,,,,,,,,,,,,,,,,,,
Fuga,二牙（フーガ）,Fūga,Fuga,Chapter 991[1],Beasts Pirates (Numbers)[1],,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fugetsu Omusubi,風月おむすび,Fūgetsu Omusubi,N/A,Chapter 1024[1],,Samurai; Daimyo of Kibi[2],Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujin,風刃,Fūjin,Fujin,Chapter 931; Episode 925[1],Beasts Pirates;[2] Orochi Oniwabanshu (former); Kurozumi Family (former)[1],Ninja; Pirate[1],Alive,February 4th[3],,,"Flower Capital, Wano Country",,45[3],"200 cm (6'7"")[4]",X[3],,,,Wano Country[3],,,,,,,,,,,,,,,,,,,,,
Fukaboshi,フカボシ,Fukaboshi,Fukaboshi,Chapter 609; Episode 528[1],Neptune Family[1],Prince of the Ryugu Kingdom[1],Alive,February 4th[3],,,Fish-Man Island[1],,24[2],604 cm (19’10”)[2],S[2],,,,Grand Line (Ryugu Kingdom)[2],,,,,,,,,,,,,,,,,,,,,
Fukurokuju,福ロクジュ,Fukurokuju,Fukurokuju,Chapter 931; Episode 925[1],Kurozumi Family; Beasts Pirates (former);[2] Orochi Oniwabanshu (former);[1] Kozuki Family (former)[3],Ninja; Captain of the Orochi Oniwabanshu (former)[1],Unknown,March 29th[4],,,"Flower Capital, Wano Country[1]",,61[4],"221 cm (7'3"")[5]",X[4],,,,Wano Country[4],,,,,,,,,,,,,,,,,,,,,
Fukurou,フクロウ,Fukurō,Fukurô (Viz); Fukurou (FUNimation) (former),Chapter 375; Episode 264[1],CP9[2] (former),Cipher Pol Agent[2] (former),Alive,June 29th[3][4],,,,,29 (debut)[6]31 (after timeskip)[7],"331 cm (10'10¼"")[8]",S[8],,,,Grand Line[8],,,,,,,,,,,,,,,,,,,,,
Fullbody,フルボディ,Furubodi,Fullbody,Chapter 43; Episode 20[1],Marines[1],"Marine Lieutenant Commander;[2] Marine Seaman Recruit (promoted)[3], Marine Lieutenant[1] (demoted)[4]",Alive,September 7th[5],,,,,26 (debut)28 (after timeskip)[5],"184 cm (6'0"")[5]",F[5],,,,North Blue[5],,,,,,,,,,,,,,,,,,,,,
Funkfreed,ファンクフリード,Fankufurīdo,"Funkfreed (FUNimation, Viz manga);Funk Freed (Unlimited Adventure)",Chapter 365; Episode 254,"CP0, CP9 (former)",Spandam's Sword;[1] Pet,Alive,April 28th (Elephant Day)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furrari,フラーリ,Furāri,N/A,Chapter 906; Episode 884[1],Levely[1],King[1],Alive,,,,Nagagutsu Kingdom[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuza,フザ,Fuza,Fuza,Chapter 241; Episode 155[1],God's Army[1],Battle Pet,Alive,February 3rd[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gab,ガブ,Gabu,N/A,Chapter 580; Episode 489[1],Red Hair Pirates[1],Pirate; Officer[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaburu,ガブル,Gaburu,Gobble;Gaburu (Current);Gabull,Chapter 702 cover; Episode 921 (image)[1],Unknown rebel group,Revolutionist Commander,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaimon,ガイモン,Gaimon,Gaimon,Chapter 22; Episode 18[1],,Guardian of the Island of Rare Animals[2]Pirate (former)[3],Alive,August 5th[5],,,Island of Rare Animals,,43 (debut)45 (after timeskip)[4],"130 cm (4'3"")[4]",X[4],,,,East Blue[4],,,,,,,,,,,,,,,,,,,,,
Gal,ガル,Garu,Gal,Chapter 680; Episode 606[1],Marines; G-5[1],,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy,ギャラクシー,Gyarakushī,N/A,Chapter 437 cover page[1],Automata,General,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galdino,ギャルディーノ,Gyarudīno,Mr. 3[1]/Galdino[2],Chapter 117; Episode 70[1],Cross Guild;[3] Buggy's Delivery; Buggy and Alvida Alliance;[4] Baroque Works[5] (formerly),Pirate; Officer Agent[5] (former); Prisoner of the Great Prison (former),Alive,March 3rd[6],,,Karai Bari Island,,35 (debut)37 (after timeskip)[7],"179 cm (5'10"")[7]",F[7],,,,South Blue[7],"""Mr. 3"" (Mr. 3（ミスター・スリー）, Misutā Surī?)[1]",,,,,,,,,,,,,,,,,,,,
Gally,ギャリー,Gyarī,Gary (VIZ Media); Gally (Funimation),Episode 48[1]; Romance Dawn Story; Chapter 902; Episode 877[2],Gally Pirates[2],Pirate; Captain[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gama Pyonnosuke,ガマ・ピョンの助,Gama Pyonnosuke,Toad Boingnosuke,"Chapter 909, Episode 892[1]",,,Alive,,,,Wano Country[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,ガンビア,Ganbia,Gambia,Chapter 705; Episode 634[1],Barto Club; Straw Hat Grand Fleet,Staff Officer[citation needed],Alive,February 18th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gan Fall,ガン・フォール,Gan Fōru,Ganfor (VIZ; Funimation simulcast);Gan Fall (Funimation);Gunfall (4Kids),Chapter 237; Episode 153[1],Skypiea,God of Skypiea; Mercenary (former)[2],Alive,December 22nd[3],,,,,66 (debut);68 (after timeskip)[4],"180 cm (5'11"")[4]",X[4],,,,Grand Line (Skypiea)[4],,,,,,,,,,,,,,,,,,,,,
Gancho,ガンチョ,Gancho,Gancho,Chapter 711; Episode 641[1],Tontatta Kingdom[1],King[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganryu,ガンリュウ,Ganryū,Ganryu,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganryu,眼竜（ガンリュウ）,Ganryū,Ganryu,Chapter 966[1]; Episode 968[2],Roger Pirates,Pirate,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatherine,ギャサリン,Gyasarin,Gatherine,Chapter 379; Episode 266[1],World Government,Waitress,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatz,ギャッツ,Gyattsu,Gyats,Chapter 702; Episode 631[1],Corrida Colosseum[1],Announcer[1],Alive,August 26th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gazelleman,ガゼルマン,Gazeruman,Gazelle-Man,Chapter 914; Episode 900[1],Beasts Pirates[1]; Tama[2],Gifter[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gecko Moria,ゲッコー･モリア,Gekkō Moria,Gecko Moria,Chapter 449; Episode 343[1],Thriller Bark Pirates (Mysterious Four);Seven Warlords of the Sea[2] (former);[3]Gecko Pirates (former),Pirate Captain[4]Warlord of the Sea[2] (former)[3],Alive,September 6th[7][8],,,,,48 (debut)[5]50 (after timeskip)[6],"692 cm (22'8½"") (debut, after timeskip)[5]",X[9],,,,West Blue[9],,,,,,,,,,,,,,,,,,,,,
Gedatsu,ゲダツ,Gedatsu,"Gedatsu (Viz, Uncut dub); Gedatz (Edited dub)",Chapter 241; Episode 155[1],Ukkari Hot-Spring Island; God's Army (former),"Priest of Enel[2] (former), Head Clerk of Hot Springs Resort",Alive,August 10th [4],,,Ukkari Hot-Spring IslandSkypiea (former)Birka (former),,29 (debut)31 (after timeskip)[3],"220 cm (7'2"")[3]",S[3],,,,Sky Islands (Birka)[3],,,,,,,,,,,,,,,,,,,,,
Gem,ジェム,Jemu,N/A,Chapter 110; Episode 65[1],New Spiders Cafe; Baroque Works[2] (former),Cafe Employee; Officer Agent[2][3] (former); Sniper,Alive,July 26th[4],,,,,24 (debut)26 (after timeskip)[5],"197 cm (6'5"")[5]",X[5],,,,South Blue[5],"""Mr. 5"" (Mr. 5（ミスター・ファイブ）, Misutā Faibu?)[1]",,,,,,,,,,,,,,,,,,,,
Genbo,ゲンボウ,Genbō,Genbou,Chapter 249; Episode 163,Shandia; God's Guards[1],Shandia Warrior; God's Guard[1],Alive,February 9th[3],,,,,23 (debut)25 (after timeskip)[2],"193 cm (6'4"")[2]",S[2],,,,Sky Islands (Skypiea)[2],,,,,,,,,,,,,,,,,,,,,
Genrin,玄林,Genrin,N/A,Chapter 940; Episode 937[1],,,Alive,,,,"Ebisu Town, Wano Country[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genzo,ゲンゾウ,Genzō,Genzo,Chapter 71; Episode 32[1],Cocoyasi Village,Sheriff of Cocoyasi Village,Alive,June 17th[2],,,,,46 (debut)48 (after timeskip)[2],"173 cm (5'8"")[2]",F[2],,,,East Blue (Cocoyasi Village)[2],,,,,,,,,,,,,,,,,,,,,
George Mach,ジョージ・マッハ,Jōji Mahha,George Mach,Chapter 313;[1] Episode 217[2],Foxy Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerd,ゲルズ,Geruzu,Gerd,Chapter 866; Episode 836[1],New Giant Warrior Pirates; Buggy's Delivery (former)[2]Straw Hat Grand Fleet,Pirate; Doctor; Mercenary (former)[2],Alive,February 25th[4],,,Elbaf[1],,75[3],"1700 cm (55'9"")[4]",S[4],,,,Grand Line (Elbaf)[4],,,,,,,,,,,,,,,,,,,,,
Giberson,ギバーソン,Gibāson,Giberson,Chapter 860; Episode 828[1],Underworld[2],"Warehouseman (倉庫業老舗, Sōkogyō Shinise?, English versions: ""Warehouse Kingpin"");[2]Emperor of the Underworld[3]",Alive,August 14th[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gig,ギグ,Gigu,N/A,Chapter 1024,Kid Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimlet,ギムレット,Gimuretto,Gimlet,Chapter 775;[1] Episode 715,,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gin,ギン,Gin,"Gin (Viz);Ghin (4Kids, Funimation)",Chapter 44; Episode 21,Krieg Pirates,Pirate; Combat Commander,Unknown,April 7th[2],,,,,25 (debut)27 (after timeskip)[3],"186 cm (6'1"")[3]",S[3],,,,,,,,,,,,,,,,,,,,,,,,,
Gina,ジーナ,Jīna,Gina,Chapter 318; Episode 215[1],Foxy Pirates[1],Shipwright[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginko,ギンコ,Ginko,N/A,Chapter 682; Episode 608[1],Punk Hazard,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginnosuke,銀のすけ,Ginnosuke,N/A,Chapter 919; Episode 909[1],,Student,Alive,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginrummy,ジンラミー,Jinramī,Ginrummy,Chapter 795; Episode 739[1],Beasts Pirates[1],Shinuchi[2],Unknown,January 23rd[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giolla,ジョーラ,Jōra,Giolla,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],Alive,January 25th[3],,,Spider Miles (former); Dressrosa (former),,61[2],"221 cm (7'3"")[4]",S[4],,,,North Blue[4],,,,,,,,,,,,,,,,,,,,,
Gion,ギオン,Gion,Gion,SBS Volume 74;[1]Movie 13;[2]Chapter 907;Episode 887[3],Marines[1],Vice Admiral[1],Alive,,,,,,,,,,,,,"Momousagi (桃兎, Momousagi?, literally meaning ""Pink Rabbit"")[1]",,,,,,,,,,,,,,,,,,,,
Giovanni,ジョバンニ,Joban'ni,Giovanni,Chapter 809; Episode 758[1],Mokomo Dukedom; Inuarashi Musketeer Squad[1]  Ninja-Pirate-Mink-Samurai Alliance,Three Inuarashi Musketeers[1],Alive,July 20th[2],,,"Kurau City, Zou",,30[2],"226 cm (7'5"")[2]",S[2],,,,Grand Line (Mokomo Dukedom)[2],,,,,,,,,,,,,,,,,,,,,
Giro Chintaro,義浪チン太郎,Giro Chintarō,N/A,Chapter 909; Episode 892[1],,Samurai[1],Alive,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladius,グラディウス,Guradiusu,Gladius,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],Alive,August 6th[3],,,Spider Miles (former); Dressrosa (former),,33[2],"260 cm (8'6"")[4]",XF[4],,,,North Blue[4],,,,,,,,,,,,,,,,,,,,,
Gloriosa,グロリオーサ,Guroriōsa,Gloriosa,Chapter 514; Episode 408[1],Kuja[1],Empress of Amazon Lily (former),Alive,February 4th[2],,,,,,,,,,,,"Elder Nyon (ニョン婆, Nyon Bā?)",,,,,,,,,,,,,,,,,,,,
Glove,グローブ,Gurōbu,N/A,Chapter 427[1] ;Episode 309,Marines,Marine; Commander,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gode,ゴーデ,Gōde,N/A,"Chapter 256, Episode 169",Enel; Birkans,Clergyman[1],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going Merry,ゴーイング・メリー号,Gōingu Merī-gō,"Going Merry (Uncut dub)Merry Go (Viz, Edited dub)",Chapter 41; Episode 17[1],,,Destroyed,,,,,,,"1100 cm (36'1"")[3]",,,,,,,,,,,,,,,,,,,,,,,,Straw Hat Pirates,January 22nd[2],
Goki,五鬼（ゴーキ）,Gōki,Goki,Chapter 954; Episode 955[1],Beasts Pirates (Numbers),,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gol D. Roger,ゴール・D（ディー）・ロジャー,Gōru Dī Rojā,Gol D. Roger,Chapter 1; We Are![1],Roger Pirates[1],Pirate; Captain[1],Deceased,December 31st[5],,,,,,"274 cm (9'0"")[3]",S[3],,,,East Blue (Loguetown)[2][3],"Gold Roger (ゴールド・ロジャー, Gōrudo Rojā?)[1]",,,,,,,,53[4],,,,,,,,,,,,
Goldberg,ゴールドバーグ,Gōrudobāgu,Goldberg,"Chapter 899,[1] Episode 836[2]",New Giant Warrior Pirates; Buggy's Delivery (former)[1]   Straw Hat Grand Fleet,Cook; Pirate; Mercenary (former)[1],Alive,May 11th[4],,,Elbaf[3],,63[3],,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldfish Princess,金魚姫,Kingyohime,Goldfish Princess,Chapter 189 cover,Goldfish Empire,Princess of Goldfish Empire,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomorrah,ゴモラ, Gomora,"Gomora (VIZ),Gomorrah (FUNimation)",Chapter 366; Episode 256[1],Franky Family[1],Transportation,Alive,August 6th[2],,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonbe,ゴンベ,Gonbe,Gonbe,Chapter 322; Episode 229[1],Chimney,,Alive,February 8th[2],,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goo,グー,Gū,N/A,"Chapter 483, Episode 375[1]",Pirate crew[1],"Pirate, Captain[1]",Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla,ゴリラ,Gorira,Gorilla,"Chapter 596, Episode 514[1]",Marines[1],Marine Captain[1],Alive,May 18th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorishiro,ゴリ四郎,Gorishirо̄,Gorishiro,Chapter 978; Episode 982[1],Beasts Pirates[1],,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
